選手名,球 団,打 率,本 塁 打,打 点,出 塁 率,長 打 率,O P S
炭谷 銀仁朗,西,0.17999599999999977,0,6,0.24199999999999927,0.23465454608744543,0.47535599999999983
滝澤 夏央,西,0.1851000000000003,0,6,0.24199999999999927,0.2302070749091707,0.47210399999999875
長谷川 信哉,西,0.18797600000000042,2,15,0.2630079999999997,0.2391762365134252,0.4968888888888891
児玉 亮涼,西,0.18124399999999977,0,5,0.2660279999999991,0.31134137290902153,0.5771439999999983
奥村 光一,西,0.18386399999999958,0,4,0.21159199999999975,0.2144933691084484,0.4263900659340666
元山 飛優,西,0.1399880000000004,1,6,0.18220000000000014,0.19249031097787847,0.3852639999999996
ガルシア,西,0.13004800000000008,1,4,0.2419719999999992,0.2462540281937704,0.4922160000000009
若林 楽人,西,0.13084800000000008,3,5,0.16019999999999995,0.24124803970164943,0.4172479999999995
コルデロ,西,0.13051600000000013,1,4,0.15130800000000028,0.19279650714886623,0.3551639999999996
松原 聖弥,西,0.12488400000000029,0,5,0.18585599999999997,0.18501572402782235,0.3748679999999998
郡司 裕也,日,0.25103999999999915,11,44,0.31704799999999883,0.401063695078144,0.711268000000002
万波 中正,日,0.261040000000001,17,66,0.3199879999999989,0.4421054617695843,0.7604919999999991
松本 剛,日,0.2239439999999987,1,28,0.28694400000000014,0.29889064110653296,0.5869719999999999
マルティネス,日,0.23299199999999887,13,54,0.337983999999999,0.4145062404116293,0.7552239999999983
清宮 幸太郎,日,0.28692000000000023,16,46,0.3796760000000007,0.5363491481035237,0.907252000000001
レイエス,日,0.28519199999999933,25,62,0.3593199999999997,0.5130455886368197,0.8736295999999988
水谷 瞬,日,0.2729960000000011,9,40,0.34498799999999913,0.4438918154438145,0.7995600000000013
田宮 裕涼,日,0.26599999999999896,3,26,0.3199999999999988,0.34044773369010894,0.6629880000000005
淺間 大基,日,0.2770000000000007,1,9,0.3460399999999996,0.38157833368043753,0.723012000000001
上川畑 大悟,日,0.25310400000000005,1,18,0.3280000000000015,0.2735567154692755,0.5919200000000007
伏見 寅威,日,0.24611200000000039,0,10,0.27600400000000114,0.25166788161227555,0.524364000000001
石井 一成,日,0.23600799999999894,4,18,0.29300000000000026,0.3515496884254803,0.6447560000000014
細川 凌平,日,0.21504400000000132,0,4,0.27004800000000106,0.24052951574994194,0.5090320000000007
水野 達稀,日,0.21197600000000105,7,32,0.24809599999999934,0.35251123815627683,0.6097720000000011
野村 佑希,日,0.21502000000000132,2,13,0.25998399999999955,0.3301235255130329,0.5930320000000003
奈良間 大己,日,0.18697999999999976,0,6,0.19728400000000043,0.2163809622145023,0.4137560000000012
加藤 豪将,日,0.1628999999999996,0,3,0.23577199999999923,0.20142076998245245,0.429760000000002
スティーブンソン,日,0.1686239999999999,0,1,0.17390399999999975,0.19074674897961566,0.3678439999999991
五十幡 亮汰,日,0.15492000000000025,0,5,0.20201200000000052,0.21447215806798067,0.41151200000000016
佐藤 都志也,ロ,0.26599599999999896,5,40,0.3349919999999993,0.37115665387662056,0.705935999999999
ソト,ロ,0.2620120000000004,22,79,0.34215200000000007,0.4538764414041817,0.788132000000002
ポランコ,ロ,0.23299999999999887,24,62,0.314935999999999,0.4589080928794581,0.7790919999999989
髙部 瑛斗,ロ,0.3116279999999994,1,19,0.35949999999999965,0.3798665612111857,0.738920000000001
藤原 恭大,ロ,0.2851279999999993,2,18,0.3594679999999998,0.4214303831670635,0.7818680000000002
岡 大海,ロ,0.28604400000000085,7,41,0.37841200000000047,0.4431838338544201,0.8290040000000011
角中 勝也,ロ,0.2770040000000007,3,18,0.37797600000000003,0.3965549565097784,0.7671243428571415
荻野 貴司,ロ,0.26998800000000106,1,16,0.3050040000000009,0.3482874391655853,0.657372
上田 希由翔,ロ,0.25600000000000017,0,5,0.2929720000000003,0.29480658174729485,0.5868560000000007
藤岡 裕大,ロ,0.26499600000000045,5,37,0.34006000000000186,0.34112285150349714,0.6759639999999985
小川 龍成,ロ,0.2409999999999997,0,21,0.3230039999999989,0.26509308555547695,0.5678759999999994
中村 奨吾,ロ,0.22204000000000082,4,35,0.33172399999999985,0.32462043820026315,0.6490080000000007
安田 尚憲,ロ,0.23702400000000043,0,13,0.2719679999999994,0.3345367147858745,0.605955999999998
石川 慎吾,ロ,0.21799600000000144,1,5,0.2439799999999998,0.2506447554546542,0.4949848888888898
友杉 篤輝,ロ,0.20797599999999913,0,19,0.23303599999999888,0.22258769049887492,0.4558880000000016
山口 航輝,ロ,0.19599599999999978,2,15,0.25095999999999935,0.29712108439021345,0.5557800000000004
田村 龍弘,ロ,0.19791600000000042,0,11,0.2799920000000008,0.2359688249520053,0.5176643111111112
愛斗,ロ,0.18301599999999985,0,4,0.2519600000000007,0.2026712731471892,0.4476079999999979
茶谷 健太,ロ,0.16015199999999963,0,4,0.1769999999999997,0.18050019212053564,0.35109999999999936
和田 康士朗,ロ,0.14581600000000042,0,4,0.238827999999999,0.1532843428571427,0.39088000000000056
辰己 涼介,楽,0.28089999999999987,7,48,0.366964,0.3713374283079107,0.7384520000000009
鈴木 大地,楽,0.2550000000000011,4,39,0.33903199999999895,0.3352763606354233,0.6709240000000002
小郷 裕哉,楽,0.24799999999999903,7,47,0.3299159999999987,0.39112736242794943,0.7239279999999988
浅村 栄斗,楽,0.25800000000000095,14,60,0.3370320000000017,0.3762147629449805,0.7075599999999997
村林 一輝,楽,0.25200800000000095,6,44,0.2650040000000004,0.2951158036691275,0.5591719999999998
小深田 大翔,楽,0.21999199999999927,3,33,0.3059959999999986,0.30313189120100126,0.6079120000000013
茂木 栄五郎,楽,0.2630039999999997,1,7,0.3130000000000013,0.4204132182984403,0.7347280000000034
安田 悠馬,楽,0.25200800000000095,2,10,0.2879199999999985,0.3681596057492807,0.6629480000000006
伊藤 裕季也,楽,0.2629999999999997,2,10,0.3080000000000011,0.4058223114157872,0.7133344000000011
渡邊 佳明,楽,0.24597600000000033,0,7,0.29798800000000064,0.28359524285412174,0.5767999999999978
黒川 史陽,楽,0.23499999999999954,1,5,0.2750079999999995,0.2978364570608122,0.5690359999999999
中島 大輔,楽,0.22985199999999897,1,10,0.2574640000000005,0.3395880113506511,0.5990466666666657
阿部 寿樹,楽,0.2239359999999987,9,29,0.29298800000000025,0.38905393286477785,0.6829400000000004
フランコ,楽,0.21401199999999915,8,28,0.24816799999999942,0.32334064465341383,0.5699759999999967
島内 宏明,楽,0.21800000000000144,0,11,0.3020400000000006,0.2803824895522119,0.5790399999999983
岡島 豪郎,楽,0.20398800000000045,1,7,0.306988000000001,0.27615360038286063,0.5739639999999998
太田 光,楽,0.1879760000000004,2,18,0.24399199999999985,0.31592138453575375,0.5617360000000012
石原 彪,楽,0.16301199999999963,4,12,0.23024000000000017,0.28277582220844155,0.5151472
森 友哉,オ,0.2719959999999993,9,48,0.3820040000000011,0.42216408931061644,0.8040040000000015
西川 龍馬,オ,0.2659999999999989,7,42,0.29808400000000057,0.3601911281390303,0.6608440000000004
紅林 弘太郎,オ,0.24500799999999892,2,31,0.2969759999999987,0.3329858353435236,0.6262782857142856
西野 真弘,オ,0.2958160000000002,1,21,0.3489879999999996,0.3245533827878918,0.675008000000001
太田 椋,オ,0.28704400000000013,6,36,0.3519919999999999,0.4234139062248151,0.7784959999999987
茶野 篤政,オ,0.2750119999999994,0,5,0.29910800000000004,0.36483847678781894,0.665971999999998
セデーニョ,オ,0.2550000000000011,15,39,0.3291119999999991,0.39334537041829337,0.7239159999999986
宗 佑磨,オ,0.24499599999999896,1,21,0.27603200000000117,0.29431823387009093,0.5727799999999996
大里 昂生,オ,0.22599599999999948,2,13,0.31403199999999876,0.3048003611985916,0.6148280000000007
杉本 裕太郎,オ,0.23299199999999887,11,30,0.3059959999999986,0.38312052331988117,0.6878039999999991
福田 周平,オ,0.23499999999999954,1,16,0.31403199999999876,0.272604235653438,0.5699079999999974
中川 圭太,オ,0.22987999999999903,2,17,0.28201599999999816,0.31769458280301904,0.6011559999999995
来田 涼斗,オ,0.20300800000000077,2,13,0.2630079999999997,0.31946252499588373,0.5809400000000003
若月 健矢,オ,0.20041600000000062,3,20,0.24626400000000004,0.28877996719895976,0.5314120000000009
頓宮 裕真,オ,0.20296800000000076,7,27,0.2969639999999987,0.30096402238828474,0.5969599999999996
