選手名,球 団,打 率,打 点,本 塁 打,安 打 数,単 打,2 塁 打,3 塁 打,出 塁 率,長 打 率,O P S,試 合 数,打 席 数,打 数,得 点,四 球,死 球,企 盗 塁,盗 塁,犠 飛,併 殺,失 策,三 振
12:小川 龍成,ロ,.241,21,0,63,61,2,0,.317,.249,.566,119,313.0,261,33,31,0,11,10,2,2,5,52
13:中村 奨吾,ロ,.234,27,4,88,66,18,0,.318,.314,.631,120,433.0,376,36,41,5,4,2,0,15,9,75
14:安田 尚憲,ロ,.228,15,0,36,23,13,0,.282,.310,.592,55,174.0,158,14,13,0,0,0,3,4,2,48
15:石川 慎吾,ロ,.211,5,1,19,15,3,0,.237,.278,.514,33,93.0,90,2,3,0,0,0,0,3,2,19
16:友杉 篤輝,ロ,.206,15,0,73,63,10,0,.241,.234,.474,125,393.0,355,33,17,0,13,11,2,5,14,52
17:山口 航輝,ロ,.200,13,2,34,24,8,0,.249,.282,.531,51,181.0,170,10,10,1,1,1,0,6,2,30
18:田村 龍弘,ロ,.200,14,0,28,18,10,0,.269,.271,.541,51,160.0,140,11,14,0,0,0,2,2,3,27
19:愛斗,ロ,.188,3,0,13,11,2,0,.243,.217,.461,52,76.0,69,4,4,1,0,0,0,3,1,14
20:茶谷 健太,ロ,.167,4,0,12,11,1,0,.176,.181,.356,88,76.0,72,5,1,0,0,0,1,1,2,18
21:和田 康士朗,ロ,.150,8,0,9,9,0,0,.235,.150,.385,88,71.0,60,12,6,1,11,11,1,0,1,13
1:辰己 涼介,楽,.294,58,7,158,117,22,12,.353,.419,.772,143,597.0,537,68,46,8,22,20,6,10,2,108
2:鈴木 大地,楽,.266,41,4,108,88,11,5,.324,.347,.671,123,460.0,406,41,23,13,0,0,3,4,3,43
3:小郷 裕哉,楽,.257,49,7,145,108,24,6,.337,.358,.694,143,642.0,565,64,71,3,37,32,5,6,3,120
4:浅村 栄斗,楽,.253,60,14,119,86,19,0,.346,.382,.728,143,552.0,471,51,72,4,3,1,9,12,9,101
5:村林 一輝,楽,.241,50,6,125,103,13,3,.270,.313,.583,139,571.0,518,51,21,2,6,5,7,11,13,91
6:小深田 大翔,楽,.229,23,3,103,87,9,4,.296,.287,.582,134,522.0,450,50,42,2,39,29,3,5,5,84
8:茂木 栄五郎,楽,.265,8,1,18,12,4,1,.311,.397,.708,46,75.0,68,6,5,0,0,0,1,0,0,13
9:安田 悠馬,楽,.262,9,2,32,24,6,0,.297,.361,.658,34,128.0,122,12,6,0,0,0,0,1,0,38
10:伊藤 裕季也,楽,.261,10,2,30,21,6,1,.298,.383,.680,44,125.0,115,10,5,1,1,0,0,2,2,34
11:渡邊 佳明,楽,.250,11,0,34,32,2,0,.302,.265,.567,47,154.0,136,9,12,0,0,0,2,3,0,26
12:黒川 史陽,楽,.232,8,1,13,11,1,0,.283,.304,.587,22,60.0,56,8,4,0,0,0,0,2,2,12
13:中島 大輔,楽,.228,10,1,28,18,8,1,.258,.333,.591,37,128.0,123,18,2,3,1,1,0,2,0,21
14:阿部 寿樹,楽,.227,32,9,52,28,13,2,.292,.419,.711,78,254.0,229,19,20,1,2,0,0,3,3,54
15:フランコ,楽,.218,30,8,50,37,5,0,.251,.345,.596,68,243.0,229,20,9,2,0,0,3,7,1,49
16:島内 宏明,楽,.214,12,0,28,24,3,1,.307,.252,.559,40,154.0,131,8,16,3,0,0,3,4,0,16
17:岡島 豪郎,楽,.200,6,1,16,13,1,1,.304,.275,.579,31,93.0,80,6,12,1,1,0,0,3,0,15
19:太田 光,楽,.196,23,2,45,30,10,3,.244,.291,.535,94,269.0,230,23,14,2,2,2,1,1,3,58
20:石原 彪,楽,.171,12,4,25,16,5,0,.239,.288,.527,68,172.0,146,9,13,0,0,0,0,4,1,50
1:森 友哉,オ,.281,46,9,111,77,24,1,.368,.415,.783,117,457.0,395,46,52,7,7,6,5,4,1,61
2:西川 龍馬,オ,.258,46,7,134,102,25,0,.294,.347,.641,138,553.0,519,42,28,1,12,11,4,11,3,97
3:紅林 弘太郎,オ,.247,38,2,115,88,25,0,.305,.314,.619,136,523.0,465,32,37,5,4,0,8,12,6,74
5:西野 真弘,オ,.300,13,1,84,74,6,3,.352,.354,.706,89,312.0,280,27,22,1,4,3,1,3,4,26
6:太田 椋,オ,.288,40,6,96,71,16,3,.340,.408,.748,91,369.0,333,39,27,1,7,4,4,10,7,66
7:茶野 篤政,オ,.269,6,0,14,11,2,1,.304,.346,.650,16,57.0,52,6,3,0,5,5,1,0,1,13
8:セデーニョ,オ,.260,37,15,79,55,9,0,.320,.438,.758,98,334.0,304,29,28,5,2,0,2,15,0,97
