選手名,球 団,打 率,本 塁 打,打 点,出 塁 率,長 打 率,O P S
阿部 寿樹,楽,0.22664584,8,30,0.296439,0.3976958,0.69092536
フランコ,楽,0.2151192,7,29,0.2604449,0.35050464,0.6070567
島内 宏明,楽,0.20836762,0,10,0.3060182,0.26559177,0.5697331
岡島 豪郎,楽,0.21082689,1,8,0.29048532,0.3006245,0.59217757
太田 光,楽,0.20270516,3,21,0.24345228,0.29474378,0.5362013
石原 彪,楽,0.16475974,3,12,0.25571248,0.2831538,0.5406222
森 友哉,オ,0.27626565,11,47,0.35277024,0.4305221,0.7897016
西川 龍馬,オ,0.24786568,7,43,0.28798196,0.3428903,0.6289599
紅林 弘太郎,オ,0.25070933,2,30,0.30888554,0.31313792,0.624792
西野 真弘,オ,0.3041552,1,17,0.35613805,0.36868736,0.7333492
太田 椋,オ,0.28355196,5,37,0.33793497,0.38567728,0.7254905
茶野 篤政,オ,0.25443673,0,7,0.30250806,0.31950712,0.6230996
セデーニョ,オ,0.25247112,13,44,0.3230027,0.418324,0.7413694
宗 佑磨,オ,0.23099416,2,21,0.2753725,0.29364014,0.5710384
大里 昂生,オ,0.23125489,3,13,0.30872712,0.32354632,0.6360387
杉本 裕太郎,オ,0.2253809,9,30,0.28861418,0.39195916,0.67635465
福田 周平,オ,0.24091583,0,15,0.31581062,0.2752411,0.594633
中川 圭太,オ,0.22999024,2,16,0.27794847,0.3224399,0.6001852
来田 涼斗,オ,0.21767531,2,14,0.2522932,0.30911133,0.56028205
若月 健矢,オ,0.19957209,2,18,0.23244563,0.27785194,0.50974494
頓宮 裕真,オ,0.20331591,6,23,0.29808667,0.3139289,0.6192255
廣岡 大志,オ,0.20336124,0,7,0.26360565,0.25564158,0.52142996
渡部 遼人,オ,0.18322796,0,5,0.25796974,0.23304772,0.4890629
ゴンザレス,オ,0.12939325,0,2,0.17593452,0.16733284,0.34519467
近藤 健介,ソ,0.30752763,27,82,0.42953977,0.5561361,0.98966825
栗原 陵矢,ソ,0.26351395,19,75,0.3439258,0.4517963,0.7991783
周東 佑京,ソ,0.26114446,3,26,0.31196213,0.3442996,0.6588014
今宮 健太,ソ,0.26390007,5,39,0.33273342,0.3439932,0.67732114
山川 穂高,ソ,0.25103346,32,99,0.33153638,0.4651963,0.8056039
三森 大貴,ソ,0.2768214,0,9,0.32119328,0.33333084,0.6591292
柳田 悠岐,ソ,0.28826886,4,26,0.38750434,0.39927974,0.782752
牧原 大成,ソ,0.28853437,3,16,0.31519443,0.38416246,0.7013161
正木 智也,ソ,0.2558098,8,33,0.32534122,0.41425142,0.7390169
柳町 達,ソ,0.26309222,4,30,0.3259808,0.3917516,0.7206645
川村 友斗,ソ,0.27086738,0,12,0.34243396,0.36342916,0.71107256
川瀬 晃,ソ,0.26035288,0,12,0.29180887,0.31656754,0.6117848
甲斐 拓也,ソ,0.2533154,6,33,0.31521776,0.3851194,0.69512975
廣瀨 隆太,ソ,0.23037073,1,7,0.28463075,0.32574603,0.60569084
中村 晃,ソ,0.22092256,0,7,0.28537598,0.24516954,0.52688175
佐藤 直樹,ソ,0.18894961,0,5,0.2452604,0.24964215,0.49427179
海野 隆司,ソ,0.18463302,1,9,0.22314303,0.2740009,0.4979061
緒方 理貢,ソ,0.17337692,0,4,0.25601885,0.23067164,0.48961416
ウォーカー,ソ,0.15928544,1,4,0.18090451,0.25672853,0.4357925
