選手名,球 団,打 率,本 塁 打,打 点,出 塁 率,長 打 率,O P S
島田 海吏,阪,0.26635876,0,9,0.35962528,0.3176495,0.6730462
前川 右京,阪,0.2672479,4,34,0.34265774,0.36094686,0.7011233
渡邉 諒,阪,0.26109636,2,17,0.3181778,0.34440225,0.67088604
小幡 竜平,阪,0.24529772,1,11,0.30800354,0.31571913,0.6219751
原口 文仁,阪,0.23861562,2,8,0.3178623,0.36262876,0.68178755
ノイジー,阪,0.2328914,1,12,0.2976091,0.3009406,0.59789646
坂本 誠志郎,阪,0.2168415,0,12,0.27308235,0.2503131,0.5267233
糸原 健斗,阪,0.21693869,0,6,0.30397627,0.25017646,0.5635119
木浪 聖也,阪,0.21775192,2,25,0.28491908,0.26486886,0.5549262
井上 広大,阪,0.21437985,3,9,0.26904553,0.375928,0.65039647
梅野 隆太郎,阪,0.21379812,0,18,0.28952008,0.24232128,0.53403085
野口 恭佑,阪,0.1854947,0,2,0.26210105,0.22120418,0.484119
大竹 耕太郎,阪,0.16737658,0,3,0.18379468,0.19174942,0.3780779
才木 浩人,阪,0.08632052,0,1,0.14053944,0.079676345,0.23129411
秋山 翔吾,広,0.28308228,4,31,0.3287855,0.35306534,0.68649
小園 海斗,広,0.28033477,3,29,0.31889975,0.3364893,0.6584213
坂倉 将吾,広,0.27534673,11,47,0.3291703,0.41295615,0.7396642
野間 峻祥,広,0.2727613,2,27,0.3489806,0.33808222,0.6872223
矢野 雅哉,広,0.26367256,2,30,0.32140625,0.33278745,0.65093243
菊池 涼介,広,0.24052742,9,48,0.28294152,0.34180167,0.6246639
宇草 孔基,広,0.24346577,3,11,0.306756,0.39861843,0.7053125
末包 昇大,広,0.23576039,8,34,0.28388447,0.38051993,0.66548055
堂林 翔太,広,0.2322415,1,16,0.27676466,0.28974187,0.5704105
石原 貴規,広,0.22997737,3,11,0.28624234,0.3395451,0.6276304
上本 崇司,広,0.20689292,0,7,0.25828934,0.23483656,0.4889331
田村 俊介,広,0.19741955,0,6,0.2388668,0.24697603,0.48678365
二俣 翔一,広,0.19985272,1,7,0.25748163,0.26986188,0.5227004
會澤 翼,広,0.18866451,0,9,0.23468345,0.21508671,0.45349914
林 晃汰,広,0.18031746,0,5,0.23081061,0.23908423,0.48000458
松山 竜平,広,0.17332274,1,6,0.22142011,0.26883337,0.48791274
田中 広輔,広,0.16333234,2,8,0.23045617,0.25156546,0.47580048
中村 奨成,広,0.13726065,0,4,0.16036451,0.17621835,0.32820815
森下 暢仁,広,0.22126192,0,4,0.2733875,0.27788413,0.54960823
床田 寛樹,広,0.16555712,0,3,0.17688893,0.17923771,0.3594958
源田 壮亮,西,0.26374388,5,33,0.30909017,0.3403214,0.64540863
外崎 修汰,西,0.23533653,7,39,0.3099622,0.34085497,0.65368086
平沼 翔太,西,0.26303732,0,14,0.3185826,0.3272336,0.65009844
佐藤 龍世,西,0.2491771,7,29,0.32965234,0.3814823,0.7135766
古賀 悠斗,西,0.22532924,3,21,0.2856721,0.29225326,0.5764641
