選手名,球 団,打 率,打 点,本 塁 打,安 打 数,単 打,2 塁 打,3 塁 打,出 塁 率,長 打 率,O P S,試 合 数,打 席 数,打 数,得 点,四 球,死 球,企 盗 塁,盗 塁,犠 飛,併 殺,失 策,三 振
1:吉川 尚輝,巨,.277,31,7,143,110,20,6,.329,.380,.708,132,567.0,516,64,32,8,23,16,1,6,11,53
2:丸 佳浩,巨,.272,65,27,143,84,31,1,.370,.490,.859,143,607.0,525,81,81,1,13,6,0,8,1,88
3:岡本 和真,巨,.252,82,30,131,79,21,1,.336,.469,.805,140,589.0,520,63,65,9,2,1,2,11,8,94
4:ポランコ,巨,.240,58,24,105,59,21,1,.306,.457,.762,138,484.0,438,55,43,1,5,2,3,6,2,109
5:坂本 勇人,巨,.286,33,5,87,68,14,0,.378,.382,.759,83,352.0,304,35,51,1,4,2,2,3,11,65
7:ウォーカー,巨,.271,52,23,110,58,28,1,.306,.515,.821,124,428.0,406,58,19,3,5,5,1,11,5,98
8:中田 翔,巨,.269,68,24,91,59,8,0,.327,.506,.833,109,375.0,338,39,29,4,0,0,4,9,2,72
9:大城 卓三,巨,.266,43,13,92,67,11,1,.339,.416,.755,115,393.0,346,24,40,2,1,1,0,10,4,77
11:増田 陸,巨,.250,16,5,35,24,6,0,.318,.400,.718,69,156.0,140,15,14,1,2,2,0,3,2,42
12:中島 宏之,巨,.242,20,1,24,17,6,0,.315,.333,.649,62,111.0,99,5,10,1,1,0,1,5,1,24
14:重信 慎之介,巨,.216,9,0,24,21,3,0,.275,.243,.518,77,128.0,111,16,8,1,10,7,0,0,0,28
15:立岡 宗一郎,巨,.204,3,1,11,9,1,0,.246,.278,.523,54,57.0,54,11,3,0,3,3,0,0,1,10
16:若林 晃弘,巨,.200,8,0,16,13,3,0,.261,.238,.499,43,91.0,80,3,7,0,0,0,1,4,1,24
18:中山 礼都,巨,.198,3,0,26,25,1,0,.234,.206,.440,50,142.0,131,8,6,0,3,3,0,2,3,27
19:ウィーラー,巨,.196,5,2,11,7,2,0,.297,.339,.636,30,64.0,56,2,9,0,1,0,0,0,0,7
21:廣岡 大志,巨,.180,4,0,9,5,3,1,.293,.280,.573,28,60.0,50,5,7,1,0,0,0,2,5,16
22:北村 拓己,巨,.173,1,0,9,7,1,1,.204,.231,.434,33,55.0,52,3,1,1,0,0,0,2,1,16
24:小林 誠司,巨,.148,5,0,13,8,5,0,.157,.205,.362,60,91.0,88,4,1,0,0,0,0,2,1,20
25:松原 聖弥,巨,.113,4,0,8,6,1,1,.160,.155,.315,50,76.0,71,7,4,0,3,2,0,2,0,21
34:戸郷 翔征,巨,.098,5,0,5,4,1,0,.115,.118,.233,25,56.0,51,1,1,0,0,0,0,1,2,26
37:菅野 智之,巨,.047,1,0,2,2,0,0,.068,.047,.115,23,51.0,43,0,1,0,0,0,0,1,1,18
1:村上 宗隆,ヤ,.318,134,56,155,77,21,1,.458,.710,1.168,141,612.0,487,114,143,7,19,12,0,7,15,128
2:塩見 泰隆,ヤ,.276,54,16,140,88,30,6,.345,.453,.797,130,567.0,508,83,44,12,31,24,3,6,2,122
3:オスナ,ヤ,.272,74,20,135,94,19,2,.312,.440,.751,138,529.0,496,49,33,1,5,2,3,11,11,93
4:山田 哲人,ヤ,.243,65,23,114,60,31,0,.333,.456,.790,130,540.0,469,69,61,6,12,10,5,7,3,140
5:長岡 秀樹,ヤ,.241,48,9,123,92,22,0,.273,.337,.610,139,548.0,511,44,21,4,5,2,3,10,13,72
10:サンタナ,ヤ,.275,35,15,52,30,7,0,.353,.550,.904,60,215.0,189,26,23,1,0,0,2,6,2,73
11:太田 賢吾,ヤ,.271,8,1,32,25,5,1,.323,.356,.679,37,131.0,118,16,8,1,0,0,0,1,0,24
12:中村 悠平,ヤ,.263,28,5,70,55,9,1,.334,.361,.695,86,307.0,266,23,26,4,0,0,3,10,0,36
13:山崎 晃大朗,ヤ,.258,37,2,88,70,12,4,.309,.334,.643,118,378.0,341,52,24,2,15,10,2,5,2,65
14:宮本 丈,ヤ,.254,8,1,29,22,6,0,.331,.333,.664,66,134.0,114,10,8,5,0,0,0,3,1,15
16:青木 宣親,ヤ,.248,22,5,55,41,8,1,.336,.360,.696,81,256.0,222,27,28,3,4,3,3,7,1,28
17:キブレハン,ヤ,.241,14,6,20,11,3,0,.264,.494,.758,29,87.0,83,10,2,1,1,0,1,1,1,21
18:丸山 和郁,ヤ,.233,9,1,21,16,4,0,.258,.311,.569,71,97.0,90,14,1,2,5,2,0,2,0,25
19:内山 壮真,ヤ,.232,19,4,41,26,11,0,.299,.362,.661,74,197.0,177,25,16,1,0,0,0,6,1,52
20:濱田 太貴,ヤ,.206,14,6,29,17,5,1,.238,.383,.621,73,148.0,141,12,6,0,1,0,0,5,0,34
22:古賀 優大,ヤ,.183,4,0,13,10,3,0,.200,.225,.425,37,77.0,71,2,3,0,0,0,2,3,0,11
24:川端 慎吾,ヤ,.175,7,0,10,9,1,0,.234,.193,.427,52,64.0,57,1,5,1,0,0,2,1,0,7
36:小川 泰弘,ヤ,.136,3,1,6,4,1,0,.136,.227,.364,25,51.0,44,1,0,0,0,0,0,1,2,14
1:佐野 恵太,Ｄ,.306,72,22,161,109,29,1,.362,.490,.853,133,574.0,526,63,46,4,3,2,1,14,4,57
2:宮﨑 敏郎,Ｄ,.300,50,16,130,89,24,1,.365,.470,.835,122,482.0,434,51,53,2,0,0,2,16,9,35
3:牧 秀悟,Ｄ,.291,87,24,148,87,36,1,.354,.507,.861,135,568.0,509,63,47,10,6,3,6,14,13,82
4:桑原 将志,Ｄ,.257,39,4,122,85,32,1,.322,.354,.676,130,529.0,475,61,42,4,21,13,1,3,0,89
5:大田 泰示,Ｄ,.278,18,5,40,24,10,1,.309,.465,.774,62,153.0,144,17,6,1,1,0,1,4,0,33
6:伊藤 光,Ｄ,.277,8,0,26,19,7,0,.340,.351,.691,40,103.0,94,9,11,1,0,0,0,3,1,23
8:ソト,Ｄ,.266,49,17,98,56,25,0,.342,.473,.815,117,412.0,368,35,40,5,0,0,1,11,4,103
9:戸柱 恭孝,Ｄ,.264,16,4,38,29,5,0,.280,.382,.662,72,151.0,144,12,3,1,0,0,2,2,1,26
10:関根 大気,Ｄ,.254,13,1,51,42,7,1,.293,.313,.606,104,225.0,201,28,9,3,10,5,2,2,3,31
11:楠本 泰史,Ｄ,.252,26,6,71,52,13,0,.322,.362,.683,94,327.0,282,27,23,7,8,6,2,4,2,55
13:大和,Ｄ,.247,18,1,64,50,13,0,.277,.309,.586,91,277.0,259,22,10,1,5,1,1,7,4,47
14:蝦名 達夫,Ｄ,.247,8,3,39,32,4,0,.316,.329,.645,61,181.0,158,21,10,6,11,6,0,3,0,43
15:森 敬斗,Ｄ,.234,6,2,36,31,3,0,.293,.292,.586,61,168.0,154,15,15,0,9,5,0,4,6,42
16:嶺井 博希,Ｄ,.205,30,5,50,38,7,0,.237,.295,.532,93,262.0,244,15,9,5,1,0,2,10,3,54
17:柴田 竜拓,Ｄ,.195,1,0,33,27,5,1,.284,.237,.521,96,198.0,169,17,22,1,3,1,0,3,3,29
18:神里 和毅,Ｄ,.189,10,1,18,10,4,3,.274,.326,.600,81,107.0,95,12,8,3,9,6,0,1,0,26
19:倉本 寿彦,Ｄ,.173,2,1,9,8,0,0,.189,.231,.419,44,54.0,52,3,1,0,0,0,0,0,1,12
1:大島 洋平,中,.314,20,1,137,117,18,1,.376,.367,.743,109,482.0,436,48,39,9,15,11,0,1,0,52
2:ビシエド,中,.294,63,14,142,101,27,0,.355,.437,.792,129,532.0,483,52,42,7,2,1,2,20,5,59
3:岡林 勇希,中,.291,32,0,161,126,25,10,.329,.373,.702,142,608.0,553,58,30,3,28,24,1,4,5,67
4:阿部 寿樹,中,.270,57,9,131,89,31,2,.338,.397,.735,133,548.0,486,44,49,4,4,3,6,14,6,105
5:木下 拓哉,中,.246,48,6,103,78,16,3,.289,.341,.630,120,466.0,419,24,30,1,2,2,6,5,5,38
10:A.マルティネス,中,.276,24,8,70,46,15,1,.350,.437,.787,82,286.0,254,29,24,7,2,1,2,8,2,55
11:溝脇 隼人,中,.252,9,0,35,29,5,1,.289,.302,.591,87,157.0,139,7,8,0,3,2,2,2,2,26
13:高橋 周平,中,.249,21,2,66,56,7,1,.308,.306,.614,78,290.0,265,18,16,7,2,1,1,8,6,43
14:土田 龍空,中,.248,12,0,52,44,7,1,.283,.290,.573,62,229.0,210,15,10,4,5,3,2,7,5,43
16:石川 昂弥,中,.225,19,5,29,16,7,1,.264,.411,.675,37,141.0,129,11,8,1,0,0,3,0,2,29
20:三好 大倫,中,.218,2,1,12,8,2,1,.246,.345,.591,45,61.0,55,7,2,0,6,6,0,0,0,16
22:三ツ俣 大樹,中,.211,10,0,26,18,8,0,.305,.276,.581,58,154.0,123,6,17,1,1,1,1,4,2,39
23:鵜飼 航丞,中,.206,16,4,37,24,8,1,.262,.328,.589,59,195.0,180,14,9,5,1,1,1,0,2,64
