選手名,球 団,打 率,打 点,本 塁 打,安 打 数,単 打,2 塁 打,3 塁 打,出 塁 率,長 打 率,O P S,試 合 数,打 席 数,打 数,得 点,四 球,死 球,企 盗 塁,盗 塁,犠 飛,併 殺,失 策,三 振
1:松原 聖弥,巨,.274,37,12,118,82,20,4,.333,.422,.756,135,477.0,431,69,38,2,22,15,3,4,2,100
2:坂本 勇人,巨,.271,46,19,115,70,26,0,.359,.467,.826,117,487.0,424,53,62,1,5,2,2,4,4,90
3:丸 佳浩,巨,.265,55,23,104,60,21,0,.365,.495,.860,118,457.0,392,58,63,0,8,5,2,5,0,120
4:岡本 和真,巨,.265,113,39,138,79,19,1,.341,.530,.871,143,592.0,521,71,61,7,2,1,7,16,4,108
6:ウィーラー,巨,.289,56,15,111,68,28,0,.358,.479,.837,121,427.0,384,44,37,8,4,3,1,16,3,78
7:梶谷 隆幸,巨,.282,23,4,64,49,10,1,.333,.388,.721,61,246.0,227,31,15,3,19,11,1,2,1,40
8:吉川 尚輝,巨,.272,25,5,83,64,13,1,.313,.370,.683,108,329.0,305,35,19,2,7,7,2,4,4,48
9:中島 宏之,巨,.271,26,6,49,33,10,0,.314,.425,.740,81,195.0,181,11,10,3,0,0,1,9,0,35
10:北村 拓己,巨,.250,11,4,23,16,3,0,.317,.413,.730,53,103.0,92,13,9,1,1,1,0,4,1,28
11:若林 晃弘,巨,.239,16,5,51,35,11,0,.314,.362,.675,96,242.0,213,25,22,2,4,1,2,1,5,46
12:大城 卓三,巨,.231,37,11,80,57,12,0,.300,.360,.660,125,386.0,347,36,37,2,0,0,1,11,2,80
13:重信 慎之介,巨,.218,6,2,17,13,2,0,.282,.321,.603,73,86.0,78,11,7,0,8,6,0,0,0,26
14:亀井 善行,巨,.215,17,3,40,24,12,1,.270,.339,.608,92,206.0,186,15,14,2,2,1,3,3,0,47
16:香月 一也,巨,.203,6,3,12,6,3,0,.277,.407,.684,39,67.0,59,9,4,2,0,0,0,2,0,12
18:廣岡 大志,巨,.189,15,5,20,11,2,2,.256,.387,.643,78,117.0,106,11,7,3,3,2,1,2,2,25
19:炭谷 銀仁朗,巨,.188,7,1,9,8,0,0,.245,.250,.495,44,54.0,48,4,5,0,0,0,1,0,0,17
23:中田 翔,巨,.154,7,3,14,7,4,0,.274,.297,.570,34,106.0,91,6,14,1,0,0,0,3,0,29
26:小林 誠司,巨,.093,3,1,7,4,2,0,.117,.160,.277,64,79.0,75,2,1,1,2,1,0,2,1,24
33:戸郷 翔征,巨,.116,1,0,5,5,0,0,.156,.116,.272,26,53.0,43,2,2,0,0,0,0,2,2,20
1:中村 悠平,ヤ,.279,36,2,105,79,24,0,.360,.358,.718,123,445.0,377,47,46,4,3,0,4,10,2,66
2:塩見 泰隆,ヤ,.278,59,14,132,90,21,7,.357,.441,.798,140,534.0,474,80,49,10,26,21,0,1,5,156
