選手名,球 団,打 率,打 点,本 塁 打,安 打 数,単 打,2 塁 打,3 塁 打,出 塁 率,長 打 率,O P S,試 合 数,打 席 数,打 数,得 点,四 球,死 球,企 盗 塁,盗 塁,犠 飛,併 殺,失 策,三 振
1:坂本 勇人,巨,.288,60,22,116,65,29,0,.361,.524,.884,116,455.0,403,46,48,2,2,2,2,5,4,84
2:大城 卓三,巨,.281,55,16,119,82,20,1,.341,.446,.787,134,490.0,424,50,39,5,0,0,4,12,2,109
3:岡本 和真,巨,.278,93,41,140,68,31,0,.374,.584,.958,140,589.0,503,83,82,8,1,0,6,10,6,111
4:吉川 尚輝,巨,.256,36,7,110,80,19,4,.308,.367,.676,132,478.0,430,47,28,8,8,4,3,12,5,66
7:梶谷 隆幸,巨,.275,19,2,73,63,8,0,.326,.328,.655,102,291.0,265,26,17,3,4,2,0,2,0,45
8:秋広 優人,巨,.273,41,10,111,81,18,2,.318,.401,.720,121,439.0,406,36,28,2,1,0,3,9,5,79
9:ウォーカー,巨,.263,20,6,31,19,4,2,.275,.483,.758,57,120.0,118,15,2,0,2,1,0,1,0,39
10:門脇 誠,巨,.263,21,3,83,67,12,1,.302,.335,.638,126,348.0,316,34,21,0,16,11,0,4,5,58
11:長野 久義,巨,.259,19,6,41,27,7,1,.330,.430,.760,75,176.0,158,15,21,0,2,1,1,2,1,40
12:中田 翔,巨,.255,37,15,67,43,8,1,.306,.464,.769,92,288.0,263,27,22,2,0,0,4,10,6,63
13:岸田 行倫,巨,.250,3,2,17,13,2,0,.282,.368,.649,46,72.0,68,5,2,1,0,0,0,4,1,12
15:ブリンソン,巨,.248,35,11,70,43,16,0,.272,.422,.694,88,294.0,282,25,12,1,3,1,2,4,2,71
16:丸 佳浩,巨,.244,47,18,94,65,11,0,.316,.413,.729,121,431.0,385,43,45,0,6,4,3,5,1,62
17:中山 礼都,巨,.239,3,0,33,27,5,1,.276,.290,.566,78,147.0,138,9,7,0,6,5,0,5,3,30
18:オコエ 瑠偉,巨,.235,6,2,28,19,7,0,.278,.345,.622,41,127.0,119,11,5,2,2,1,0,1,0,35
21:岡田 悠希,巨,.167,2,1,8,6,1,0,.216,.250,.466,26,52.0,48,4,3,0,0,0,0,1,0,14
22:重信 慎之介,巨,.157,1,0,8,8,0,0,.232,.157,.389,67,57.0,51,16,5,0,14,10,0,1,0,16
38:戸郷 翔征,巨,.109,3,0,5,5,0,0,.143,.109,.252,24,55.0,46,1,2,0,0,0,1,0,1,24
1:サンタナ,ヤ,.300,66,18,140,90,32,0,.360,.484,.844,136,516.0,467,52,45,2,2,2,3,17,2,114
2:村上 宗隆,ヤ,.256,84,31,127,68,28,0,.375,.500,.875,140,597.0,496,76,94,7,8,5,4,6,22,168
3:オスナ,ヤ,.253,71,23,127,81,23,0,.308,.437,.745,134,543.0,501,49,44,1,6,2,2,13,5,79
4:長岡 秀樹,ヤ,.227,35,3,101,78,19,1,.281,.294,.575,135,488.0,445,43,34,5,6,4,2,11,8,57
6:川端 慎吾,ヤ,.319,16,2,30,25,3,0,.385,.415,.800,80,105.0,94,4,14,1,0,0,0,4,1,10
7:塩見 泰隆,ヤ,.301,31,8,56,37,9,2,.373,.500,.873,51,209.0,186,33,20,3,3,1,1,3,1,40
